"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1649","Handling Checkboxes Automation","","Tue May 13 16:59:02 IST 2025","passed","Tue May 13 16:59:03 IST 2025","","Ecommerce Application Rahul Shetty","",""
"","9658","Login Success & Add to cart + Comparing Total of cart items","","Tue May 13 16:58:48 IST 2025","passed","Tue May 13 16:58:58 IST 2025","","EndToEndFunctionalTesting1 WebdriverIO","",""
"","3414","Regression-Login Fail Functionality","","Tue May 13 16:58:39 IST 2025","passed","Tue May 13 16:58:43 IST 2025","","Ecommerce Application Rahul Shetty","",""
"","4958","Login Success Functionality","","Tue May 13 16:58:32 IST 2025","passed","Tue May 13 16:58:37 IST 2025","","Ecommerce Application Rahul Shetty","",""
"","3405","Login Success Functionality-- Flaky test means if fails then rerun the tests -- Failed","","Tue May 13 16:58:56 IST 2025","failed","Tue May 13 16:58:59 IST 2025","","Ecommerce Application Rahul Shetty","",""
"","5069","Javascript Alerts Handling","","Tue May 13 16:58:38 IST 2025","passed","Tue May 13 16:58:43 IST 2025","","Functional Scenarios Suite","",""
"","5122","smoke-Login Success Functionality","","Tue May 13 16:58:43 IST 2025","passed","Tue May 13 16:58:48 IST 2025","","Ecommerce Application Rahul Shetty","",""
"","712","Web Table Sort Validations","","Tue May 13 16:58:43 IST 2025","passed","Tue May 13 16:58:44 IST 2025","","Functional Scenarios Suite","",""
"","12463","Regression-Child Window Handling","","Tue May 13 16:58:32 IST 2025","passed","Tue May 13 16:58:45 IST 2025","","Handling Child Windows And Frames With WebdriverIO","",""
"","160","Web Search Functionality","","Tue May 13 16:58:44 IST 2025","passed","Tue May 13 16:58:44 IST 2025","","Functional Scenarios Suite","",""
"","2238","Handling Dynamic Dropdowns controls using webdriverio","","Tue May 13 16:58:59 IST 2025","passed","Tue May 13 16:59:02 IST 2025","","Ecommerce Application Rahul Shetty","",""
"","5774","regression-Scrolling on MouseHover","","Tue May 13 16:58:32 IST 2025","passed","Tue May 13 16:58:38 IST 2025","","Functional Scenarios Suite","",""
